	Similarity Measure, Method, k, MAE, MAE_NA, %NA
Cosine Similarity, NN-RST, 10, 0.7460387, 0.7176281, 0.0380820
Pearson Correlation - PWC, NN-RST, 10, 0.8889035, 0.8546556, 0.0385283
Pearson Correlation - IZ, NN-RST, 10,    1.3581, 1.3064481, 0.0380324
LiRa - Uniform, NN-RST, 10, 0.7684296,  0.730593, 0.0492389
LiRa - Gaussian, NN-RST, 10, 0.7492965, 0.7206132, 0.0382804
LiRa - LogGaussian, NN-RST, 10, 0.9385486, 0.9026206, 0.0382804
Cosine Similarity,    kNN, 10, 0.7468083, 0.7184054, 0.0380324
Pearson Correlation - PWC,    kNN, 10, 0.7487882, 0.7199758, 0.0384787
Pearson Correlation - IZ,    kNN, 10, 0.7466562, 0.7182591, 0.0380324
LiRa - Uniform,    kNN, 10, 0.7656024,  0.727943, 0.0491893
LiRa - Gaussian,    kNN, 10, 0.7448454, 0.7163325, 0.0382804
LiRa - LogGaussian,    kNN, 10, 0.7448454, 0.7163325, 0.0382804

Cosine Similarity, NN-RST, 15, 0.7420555, 0.7137965, 0.0380820
Pearson Correlation - PWC, NN-RST, 15, 0.9346915, 0.8986795, 0.0385283
Pearson Correlation - IZ, NN-RST, 15, 1.3651132, 1.3131946, 0.0380324
LiRa - Uniform, NN-RST, 15, 0.7621508, 0.7246234, 0.0492389
LiRa - Gaussian, NN-RST, 15, 0.7420544, 0.7136483, 0.0382804
